Date,Order Number,Currency,Sub-total,Shipping,Tax,Total,Earning,Status,Coupon Code,Products
10-Sep-2025,320325,USD,8067,0,492.09,8559.09,484.02,approved,XT5HBD1000,"xTool F2 Ultra: 60W MOPA & 40W Diode Dual Laser Engraver - Single Laser / F2 Ultra (single)  Standalone, xTool P2S 55W Desktop CO2 Laser Cutter - P2S Standalone, RA2 Pro - RA2 Pro, < xTool Limited Time Gift - Limited-Time Laser Week Material Blind Box1"
10-Sep-2025,320315,USD,28.97,10,1.74,40.71,1.7382,approved,,"1/8"" White Gray Marble Acrylic Sheet Plexiglass (3pcs), 1/8"" Iridescent Acrylic Sample Set (5pcs), 1/8"" Colored Acrylic Sample Set (27pcs), < xTool Limited Time Gift - < Free 12 Colors Acrylic Marker"
10-Sep-2025,320240,USD,6418,0,529.49,6947.49,385.08,approved,XT5HBD400,"xTool F2 Ultra: 60W MOPA & 40W Diode Dual Laser Engraver - Dual Laser / F2 Ultra Standalone, RA2 Pro - RA2 Pro Deluxe"
10-Sep-2025,320112,USD,7204,0,396.23,7600.23,432.24,approved,P3FREERA3,"xToolCare for P3 - 1-Year Plan, [Final Payment] xTool P3 80W Flagship CO2 Laser Cutter with Intelligent Automation - P3 Versatile Bundle"
10-Sep-2025,319968,USD,5899,0,575.16,6474.16,353.94,approved,,[Final Payment] xTool P3 80W Flagship CO2 Laser Cutter with Intelligent Automation - P3 Standalone
07-Sep-2025,318598,USD,70,10,6.00,86,4.2,approved,,"Filters for SafetyPro AP2 - Medium Efficiency Filter, Filters for SafetyPro AP2 - Pre-Filter"
06-Sep-2025,318093,USD,1,0,0.00,1,0.06,approved,,$1 Anniversary Privilege Voucher - Privilege Voucher
05-Sep-2025,317930,USD,6199,0,461.82,6660.82,371.94,approved,CS-TULMF2ULTRA300,xTool F2 Ultra 60W MOPA & 40W Diode Dual Laser Engraver - Dual Laser / F2 Ultra Standalone
03-Sep-2025,316904,USD,4749.05,0,0.00,4749.05,284.943,approved,Custom discount,xTool F2 Ultra: 60W MOPA & 40W Diode Dual Laser Engraver - Single Laser / F2 Ultra (single)  Standalone
03-Sep-2025,316816,USD,699,0,0.00,699,41.94,approved,,xToolCare for F2 Ultra - F2 Ultra single	 / 2-Year Plan
02-Sep-2025,316454,USD,201.75,0,0.00,201.75,12.105,approved,,RA2 Pro - RA2 Pro
02-Sep-2025,316326,USD,5194.6,0,284.94,5479.54,311.676,approved,fir-cebcfb1ca,"xToolCare for F2 Ultra - F2 Ultra single	 / 1-Year Plan, xTool F2 Ultra 60W MOPA & 40W Diode Dual Laser Engraver - Single Laser / F2 Ultra (single)  Standalone"
30-Aug-2025,315474,USD,2247,0,210.09,2457.09,134.82,approved,xToolBrandon,"xTool S1 Enclosed Diode Laser Cutter - 40W / Black / 40W Basic Bundle, Riser Base for S1 - White, Automatic Conveyor Feeder for S1 - Conveyor Rail25.5""	"
30-Aug-2025,315306,USD,98,0,7.11,105.11,5.88,approved,P2LENS,"Laser Lens for P Series, Laser Mirrors Pack for P Series (3pcs) - for P2S"
29-Aug-2025,315241,USD,100,0,0.00,100,6,approved,,xTool P3 Privilege Voucher
29-Aug-2025,315079,USD,1088.99,0,0.00,1088.99,65.3394,approved,xToolPartner,"xToolCare for F1, [Refurbished] xTool F1 Fast Portable Laser Engraver with IR + Diode Laser"
22-Aug-2025,313294,USD,122.97,0,7.49,130.46,7.3782,approved,,"0.047 6061 Aluminum Alloy Welding Wire 4.5 lb Spool (2kg), 0.04"" ER70S-6 Carbon Steel Welding Wire 11 lb Spool (5kg)"
20-Aug-2025,312817,USD,3799,0,0.00,3799,227.94,approved,,xTool F1 Ultra 20W Fiber & Diode Dual Laser Engraver - F1 Ultra Standalone
19-Aug-2025,312661,USD,163.76,0,14.07,177.83,9.8256,approved,,"20-inch Wood Grain Picture Frame, 1/8"" Cherrywood Plywood Sheets (6pcs), Stainless Steel Black Hip Flask (8oz), Wax Seal Stamp DIY Set (32pcs), Wax Seal Stamp Head Set"
18-Aug-2025,312321,USD,4196,0,262.25,4458.25,251.76,approved,xToolBrandon,"Honeycomb Panel 2.0 for P Series, xTool SafetyPro AP2 Air Purifier with SuperCyclone System, [Refurbished] xTool P2 55W Desktop CO2 Laser Cutter - Grey"
17-Aug-2025,311978,USD,109,0,6.54,115.54,6.54,approved,,Filter Pack for Desktop Air Purifier (1 Pack)
16-Aug-2025,311897,USD,5196,0,461.26,5657.26,311.76,approved,XTBTS250 „o,,"Automatic Conveyor Feeder for xTool P Series - Conveyor Rail (25.5""), Accessory Kit for RA2 Pro, Honeycomb Panel 2.0 for P Series, xTool P2S 55W Desktop CO2 Laser Cutter - P2S Versatile Bundle"
14-Aug-2025,311411,USD,3749,0,290.55,4039.55,224.94,approved,XTBTS250,xTool P2S 55W Desktop CO2 Laser Cutter - P2S Standalone
07-Aug-2025,309746,USD,2799,0,167.94,2966.94,167.94,approved,TULMS40200,xTool S1 + 1064nm IR Laser Kit: Enclosed Diode Laser Engraver & Cutter - Black / 40W + IR Deluxe Bundle
05-Aug-2025,309178,USD,4306.56,0,333.76,4640.32,258.3936,approved,DEMOROOM01,"Blank Commemorative Zinc Coins (5pcs), Black Stainless Steel Military Pendant (10pcs), Blank Commemorative Coins (5pcs), Stainless Steel Triple Pendants Necklace Set (2pcs), Silver Stainless Steel Military Pendant Necklace (6pcs), Stainless Steel Dog Paw Bracelet (3pcs) - Silver, 0.3mm Brass Sheet (2pcs), 0.3mm 304 Stainless Steel Sheet (2pcs), Stainless Steel Ring (10pcs), Automatic Conveyor Feeder for S1 - Basic39""	, xTool F1 Ultra 20W Fiber & Diode Dual Laser Engraver - F1 Ultra + Conveyor, Riser Base for S1 - Black"
01-Aug-2025,308404,USD,651.7,0,49.70,701.4,39.102,approved,mil-3538a152a,"Desktop Air Purifier, Riser Base Kit for M1 Ultra, Smart Air Assist"
01-Aug-2025,308392,USD,1186.55,0,90.47,1277.02,71.193,approved,mil-abd520edd,"xTool M1 Ultra: The World's First 4-in-1 Craft Machine - 10W / 10W Advanced Bundle, [Tracking Number] M1 Ultra Accessories - [Tracking Number]xTool M1 Ultra Ink Module, [Tracking Number] M1 Ultra Accessories - [Tracking Number]xTool M1 Ultra Foil Transfer Tip"
31-Jul-2025,308137,USD,198,0,12.08,210.08,11.88,approved,,"xTool MetalFab Protection Lens Set (10pcs), xTool MetalFab Double-layer Cutting Nozzle Set"
31-Jul-2025,308050,USD,5749,0,0.00,5749,344.94,approved,F2UDUAL,xTool F2 Ultra 60W MOPA & 40W Diode Dual Laser Engraver - Dual Laser / F2 Ultra Standalone
29-Jul-2025,307572,USD,8228,0,575.96,8803.96,493.68,approved,XT20,"Flexible Fixture, xTool F2 Ultra 60W MOPA & 40W Diode Dual Laser Engraver - Dual Laser / F2 Ultra Deluxe Bundle"
27-Jul-2025,307295,USD,1958.99,0,122.44,2081.43,117.5394,approved,TULMF1100,"xTool F1 Material Explore Kit (125pcs), xTool F1/F1 Lite Portable and High Speed Laser Engraver - F1 / F1 Deluxe Bundle, [Tracking Number] Accessory - [Tracking Number] xTool RA2 Pro, [Tracking Number] F1 Accessory - [Tracking Number] xTool F1 Slide Extension, [Tracking Number] F1 Accessory - [Tracking Number] Desktop Air Purifier for xTool F1-US PLUG (110V)"
27-Jul-2025,307268,USD,1269,0,88.83,1357.83,76.14,approved,,xTool F1/F1 Lite Portable and High Speed Laser Engraver - F1 / F1 Standalone
23-Jul-2025,306574,USD,5919,0,473.81,6392.81,355.14,approved,xToolBrandon,xTool P2S 55W Desktop CO2 Laser Cutter - White / P2S All-in-one Bundle
18-Jul-2025,305568,USD,3149,0,256.35,3405.35,188.94,approved,NEW100,"xTool S1 Enclosed Diode Laser Cutter - 40W / Pure White / 40W All-in-one SafetyPro Bundle, [Tracking Number] S1 Accessory - [Tracking Number] S1 Riser Base-white, [Tracking Number] Accessory - [Tracking Number] xTool RA2 Pro, [Tracking Number] S1 Accessory - [Tracking Number] S1 Automatic Conveyor Feeder Basic, [Tracking Number] S1 Accessory - [Tracking Number] SafetyProAP2 (Air Purifier)"
18-Jul-2025,305466,USD,1757,0,0.00,1757,104.22,approved,80F1,"Pedal or Button Switch for F1 - Pedal Switch, Rolling Hard Case for F1/F1 Lite, xTool F1/F1 Lite Portable and High Speed Laser Engraver - F1 / F1 + Slide Extension, IF2 Hyper Flow Inline Duct Fan for SafetyPro"
17-Jul-2025,305378,USD,7599,0,0.00,7599,455.94,approved,,xTool F2 Ultra 60W MOPA & 40W Diode Dual Laser Engraver - Dual Laser / F2 Ultra Deluxe Bundle
17-Jul-2025,305327,USD,3768,0,226.08,3994.08,226.08,approved,XT100,"RA2 Pro - RA2 Pro, xTool F1 Ultra 20W Fiber & Diode Dual Laser Engraver - F1 Ultra Standalone"
17-Jul-2025,305244,USD,201.64,0,21.20,222.84,12.0984,approved,XTSURVEY10MA,"1/8"" Acrylic Sheets Trial Kit for Diode Laser Cutting (10pcs), 1/8"" Walnut Plywood Sheets (18pcs), 1/8"" Plywood Sheets Trial Kit (18pcs), 1/4"" Plywood Sheets (4pcs) - Birch, 1/8"" Okoume Plywood Sheets (18pcs)"
17-Jul-2025,305239,USD,3649,0,383.15,4032.15,218.94,approved,,xTool S1 + 1064nm IR Laser Kit: Enclosed Diode Laser Engraver & Cutter - Black / 40W + IR All-in-one SafetyPro Bundle
17-Jul-2025,305210,USD,3519,0,285.03,3804.03,211.14,approved,xToolBrandon,xTool F1 Ultra 20W Fiber & Diode Dual Laser Engraver - F1 Ultra Standalone
